subject_id,acquisition,brainmask_voxels,brainmask_volume,facemask_voxels,facemask_volume,brainmask_overlap_facemask_voxels,brainmask_overlap_facemask_volume,pc_overlap_bw_facemask_and_brainmask,leftover_dil_eyemask_voxels,leftover_dil_eyemask_volume,leftover_eyemask_voxels,leftover_eyemask_volume
sub-ON01016,fspgr,1125616.0,1502551.75,1562860.0,2086223.625,0.0,0.0,0.0,140444.0,187475.274819,52282.0,69789.968372
sub-ON01802,mprage,1537842.0,1537842.0,2018720.0,2018720.0,0.0,0.0,0.0,151148.0,151148.0,54733.0,54733.0
sub-ON02693,mprage,1648092.0,1648092.0,2009569.0,2009569.0,0.0,0.0,0.0,203079.0,203079.0,84628.0,84628.0
sub-ON02747,mprage,1332726.0,1332726.0,2051045.0,2051045.0,0.0,0.0,0.0,161209.0,161209.0,63282.0,63282.0
sub-ON02811,mprage,1321127.0,1321127.0,2091442.0,2091442.0,0.0,0.0,0.0,140049.0,140049.0,50733.0,50733.0
sub-ON03748,mprage,1636853.0,1636853.0,2343596.0,2343596.0,0.0,0.0,0.0,170438.0,170438.0,66390.0,66390.0
sub-ON05258,mprage,1369792.0,1368723.75,2036026.0,2034438.125,0.0,0.0,0.0,161237.0,161111.256557,66571.0,66519.083462
sub-ON05311,fspgr,1196691.0,1597427.625,1748482.0,2334006.0,0.0,0.0,0.0,109501.0,146170.217795,36104.0,48194.350218
sub-ON05530,mprage,1718025.0,1718025.0,2319651.0,2319651.0,2.0,2.0,1.1641274137454345e-06,173147.0,173147.0,67800.0,67800.0
sub-ON06910,fspgr,1075407.0,1435529.25,1490232.0,1989261.75,0.0,0.0,0.0,124537.0,166240.351034,44420.0,59294.799079
sub-ON07392,mprage,1345341.0,1345341.0,1961019.0,1961019.0,0.0,0.0,0.0,97938.0,97938.0,30955.0,30955.0
sub-ON08155,mprage,1699197.0,1699197.0,2239639.0,2239639.0,0.0,0.0,0.0,130627.0,130627.0,43459.0,43459.0
sub-ON08392,fspgr,1051410.0,1402332.75,1567792.0,2091064.375,0.0,0.0,0.0,112215.0,149668.311777,38970.0,51976.777703
sub-ON08571,mprage,1699467.0,1699116.875,2045972.0,2045550.5,0.0,0.0,0.0,145764.0,145733.973541,47943.0,47933.124046
sub-ON08792,mprage,1432803.0,1433229.375,1898214.0,1898778.75,0.0,0.0,0.0,120428.0,120463.832916,41535.0,41547.358589
sub-ON09474,mprage,1343573.0,1343573.0,1764900.0,1764900.0,0.0,0.0,0.0,124806.0,124806.0,42645.0,42645.0
sub-ON10965,fspgr,1189188.0,1587412.125,1675604.0,2236708.75,0.0,0.0,0.0,108475.0,144799.714771,34038.0,45436.208263
sub-ON11111,mprage,1555214.0,1555214.0,2200914.0,2200914.0,0.0,0.0,0.0,119498.0,119498.0,38606.0,38606.0
sub-ON11394,mprage,1400765.0,1400765.0,1667544.0,1667544.0,0.0,0.0,0.0,114641.0,114641.0,37994.0,37994.0
sub-ON11411,mprage,1389506.0,1389506.0,1933513.0,1933513.0,0.0,0.0,0.0,147453.0,147453.0,53642.0,53642.0
sub-ON12666,fspgr,1068766.0,1426664.375,1546387.0,2064221.125,0.0,0.0,0.0,124544.0,166249.695104,44379.0,59240.069526
sub-ON12688,mprage,1552555.0,1552555.0,2091664.0,2091664.0,0.0,0.0,0.0,237173.0,237173.0,103115.0,103115.0
sub-ON13545,mprage,1483150.0,1483150.0,2154105.0,2154105.0,0.0,0.0,0.0,99676.0,99676.0,30960.0,30960.0
sub-ON13986,fspgr,1132160.0,1511287.0,1764754.0,2355727.25,0.0,0.0,0.0,95460.0,127427.22889,29916.0,39934.139739
sub-ON17159,fspgr,1248737.0,1666902.375,1513270.0,2020014.5,0.0,0.0,0.0,100946.0,134749.499952,31330.0,41821.388004
sub-ON18047,mprage,1509135.0,1509135.0,2475806.0,2475806.0,0.0,0.0,0.0,128098.0,128098.0,46122.0,46122.0
sub-ON21834,mprage,1486718.0,1486718.0,2248735.0,2248735.0,0.0,0.0,0.0,120912.0,120912.0,41411.0,41411.0
sub-ON21959,mprage,1406497.0,1406218.0,2080024.0,2079611.375,0.0,0.0,0.0,124320.0,124295.339355,45275.0,45266.019058
sub-ON21976,mprage,1390425.0,1390425.0,1960435.0,1960435.0,0.0,0.0,0.0,134582.0,134582.0,48892.0,48892.0
sub-ON22299,mprage,1527365.0,1527365.0,2095291.0,2095291.0,0.0,0.0,0.0,105340.0,105340.0,34892.0,34892.0
sub-ON22662,fspgr,1190241.0,1588817.75,1812910.0,2419994.25,0.0,0.0,0.0,145889.0,194742.434554,54297.0,72479.281981
sub-ON22671,mprage,1487757.0,1487757.0,1901722.0,1901722.0,0.0,0.0,0.0,136719.0,136719.0,48535.0,48535.0
sub-ON23419,mprage,1488365.0,1488365.0,2353202.0,2353202.0,0.0,0.0,0.0,165934.0,165934.0,67270.0,67270.0
sub-ON23483,fspgr,1043514.0,1392956.125,1465158.0,1955803.625,0.0,0.0,0.0,103584.0,138271.758615,34922.0,46616.527208
sub-ON23664,mprage,1415361.0,1415361.0,2006502.0,2006502.0,0.0,0.0,0.0,132129.0,132129.0,47579.0,47579.0
sub-ON23776,mprage,1388651.0,1388651.0,1924978.0,1924978.0,0.0,0.0,0.0,110002.0,110002.0,34702.0,34702.0
sub-ON23897,fspgr,1314511.0,1754702.0,1970719.0,2630664.75,0.0,0.0,0.0,107780.0,143872.896813,32818.0,43807.948855
sub-ON25658,fspgr,1094645.0,1461209.375,1588983.0,2121094.75,0.0,0.0,0.0,65108.0,86911.083371,15759.0,21036.30526
sub-ON25939,mprage,1800552.0,1800552.0,2458378.0,2458378.0,4942.0,4942.0,0.002744713843310274,296692.0,296692.0,137670.0,137670.0
sub-ON26105,mprage,1368188.0,1368188.0,2110287.0,2110287.0,0.0,0.0,0.0,95444.0,95444.0,30868.0,30868.0
sub-ON26309,mprage,1450564.0,1450564.0,1873231.0,1873231.0,0.0,0.0,0.0,122868.0,122868.0,41642.0,41642.0
sub-ON26854,fspgr,1180683.0,1576058.875,1547939.0,2066306.0,0.0,0.0,0.0,97266.0,129838.014301,30642.0,40903.259456
sub-ON28693,fspgr,1387741.0,1543712.25,2025156.0,2252767.5,0.0,0.0,0.0,99122.0,110262.532294,30361.0,33773.337332
sub-ON30080,mprage,1460719.0,1460719.0,1843094.0,1843094.0,0.0,0.0,0.0,169236.0,169236.0,65140.0,65140.0
sub-ON30535,fspgr,1088584.0,1453118.75,1590846.0,2123568.0,0.0,0.0,0.0,75233.0,100426.060764,20812.0,27781.255255
sub-ON31551,fspgr,1324972.0,1768666.25,1467196.0,1958524.125,0.0,0.0,0.0,141554.0,188956.986783,51334.0,68524.506263
sub-ON33159,mprage,1503765.0,1503765.0,2327378.0,2327378.0,0.0,0.0,0.0,105269.0,105269.0,32560.0,32560.0
sub-ON33827,fspgr,1130076.0,1508505.25,1670485.0,2229889.75,0.0,0.0,0.0,107050.0,142898.437593,35221.0,47015.655026
sub-ON34754,mprage,1488057.0,1488057.0,2153175.0,2153175.0,0.0,0.0,0.0,81609.0,81609.0,23502.0,23502.0
sub-ON34766,mprage,1525836.0,1525836.0,2022249.0,2022249.0,0.0,0.0,0.0,138410.0,138410.0,49239.0,49239.0
sub-ON35773,mprage,1782151.0,1782151.0,2410725.0,2410725.0,0.0,0.0,0.0,179565.0,179565.0,71013.0,71013.0
